ABHD12	GO:0002084;GO:0006660;GO:0007628;GO:0009395;GO:0010996;GO:0019369;GO:0046464;GO:0046475;GO:0050727;GO:0052651
ABHD12B	GO:0098734;GO:0006660;GO:0052651
ABHD13	GO:0002084
ABHD14B	GO:0045944;GO:0050427
ABHD15	GO:0044255
ABHD16A	GO:0006660;GO:0052651;GO:0098734;GO:1905344
ABHD16B	GO:0098734;GO:0052651;GO:0006660
ABHD17A	GO:0002084;GO:0072657;GO:1902817;GO:1905668
ABHD17B	GO:0002084;GO:0006508;GO:1902473;GO:1902817;GO:1902950;GO:1905668
ABHD17C	GO:0002084;GO:1902817;GO:1905668
ABHD2	GO:0007340;GO:0009611;GO:0014909;GO:0014912;GO:0032570;GO:0043401;GO:0046464;GO:0048240;GO:0051792;GO:0051793
ABHD3	GO:0006656;GO:0046470;GO:0051792;GO:0051793
ABHD4	GO:0016042;GO:0036152;GO:0070292;GO:0055088;GO:0006654
ABHD5	GO:0006631;GO:0006654;GO:0010891;GO:0010898;GO:0030154;GO:0051006;GO:0055088
ABHD6	GO:0009395;GO:0019369;GO:0030336;GO:0046464;GO:0046889;GO:0052651;GO:0060292;GO:0099178;GO:0120163;GO:2000124;GO:2001311
ABHD9	GO:0006629;GO:0097176
ABI1	GO:0061098;GO:0001756;GO:0007169;GO:0008154;GO:0008285;GO:0035855;GO:0048813;GO:0072673
ABI2	GO:0018108;GO:0007010;GO:0007399;GO:0008154;GO:0010592;GO:0016477;GO:0016601;GO:0061001;GO:0070309;GO:2000601
ABI3	GO:0018108;GO:0030334;GO:0002357;GO:0010593;GO:0061001;GO:0099151;GO:1900028;GO:1903077;GO:2000249;GO:2000774
ABI3BP	GO:0010811;GO:0030198
ABIN2	GO:0006915;GO:0006954;GO:0023035;GO:0034134;GO:0034138;GO:0034162;GO:0043032;GO:0043123;GO:0045944;GO:0050821;GO:0050871;GO:0070498;GO:0071222;GO:2000352;GO:0006357
ABIN3	GO:0002756;GO:0006954;GO:0034142;GO:0043124;GO:0071222;GO:0006357
ABITRAM	GO:0030833;GO:0048813;GO:0051489
